iter	Passed	Remaining
0	114	114618
1	115	57828
2	117	38923
3	117	29333
4	118	23563
5	119	19729
6	119	16980
7	120	14942
8	121	13343
9	121	12068
10	122	11032
11	123	10166
12	124	9430
13	124	8800
14	125	8257
15	126	7778
16	127	7364
17	128	7009
18	129	6689
19	130	6402
20	131	6139
21	132	5903
22	133	5681
23	134	5476
24	135	5297
25	136	5128
26	137	4964
27	138	4816
28	140	4690
29	140	4557
30	142	4451
31	143	4335
32	144	4221
33	144	4113
34	145	4010
35	146	3915
36	146	3824
37	147	3736
38	148	3653
39	148	3575
40	149	3500
41	150	3430
42	151	3361
43	151	3295
44	152	3234
45	153	3175
46	153	3118
47	154	3069
48	155	3017
49	156	2967
50	156	2918
51	157	2872
52	158	2827
53	158	2783
54	159	2741
55	160	2702
56	160	2663
57	161	2626
58	162	2589
59	163	2554
60	163	2520
61	164	2488
62	165	2459
63	166	2428
64	166	2398
65	167	2369
66	168	2341
67	168	2309
68	169	2282
69	169	2256
70	170	2231
71	171	2206
72	171	2182
73	172	2160
74	173	2137
75	174	2115
76	174	2094
77	175	2073
78	176	2053
79	176	2033
80	177	2013
81	178	1994
82	178	1975
83	179	1956
84	179	1936
85	180	1918
86	180	1898
87	181	1882
88	182	1866
89	183	1851
90	183	1835
91	184	1820
92	185	1805
93	185	1790
94	186	1775
95	187	1761
96	187	1747
97	188	1733
98	189	1720
99	189	1708
100	190	1696
101	190	1680
102	191	1668
103	192	1656
104	192	1644
105	193	1631
106	194	1620
107	194	1609
108	195	1599
109	196	1588
110	197	1577
111	197	1568
112	198	1557
113	199	1547
114	199	1537
115	200	1526
116	201	1517
117	201	1507
118	202	1497
119	203	1488
120	203	1479
121	204	1470
122	204	1459
123	205	1450
124	206	1442
125	206	1433
126	207	1425
127	207	1416
128	208	1407
129	209	1400
130	209	1392
131	210	1385
132	211	1377
133	212	1371
134	212	1364
135	213	1357
136	214	1350
137	214	1342
138	215	1335
139	216	1328
140	216	1321
141	217	1314
142	218	1307
143	218	1300
144	219	1294
145	220	1288
146	220	1281
147	221	1275
148	222	1268
149	222	1262
150	223	1256
151	224	1250
152	224	1244
153	225	1238
154	226	1234
155	227	1229
156	227	1224
157	228	1218
158	229	1213
159	230	1207
160	230	1202
161	231	1196
162	232	1191
163	232	1186
164	233	1181
165	234	1176
166	234	1171
167	235	1166
168	236	1161
169	236	1156
170	237	1152
171	238	1147
172	239	1142
173	239	1137
174	240	1133
175	241	1129
176	241	1124
177	242	1120
178	243	1115
179	243	1110
180	244	1104
181	244	1100
182	245	1096
183	246	1091
184	246	1087
185	247	1083
186	248	1080
187	249	1077
188	250	1073
189	251	1071
190	252	1068
191	252	1064
192	253	1060
193	254	1056
194	254	1052
195	255	1048
196	256	1044
197	257	1041
198	257	1037
199	258	1033
200	259	1030
201	259	1026
202	260	1022
203	261	1019
204	262	1016
205	262	1013
206	263	1009
207	264	1006
208	265	1002
209	265	999
210	266	996
211	267	992
212	267	989
213	268	986
214	269	982
215	269	979
216	270	975
217	271	972
218	271	969
219	272	966
220	273	963
221	273	960
222	274	957
223	275	953
224	275	950
225	276	947
226	277	945
227	278	942
228	278	938
229	279	936
230	280	933
231	281	930
232	281	927
233	282	924
234	283	921
235	283	918
236	284	915
237	285	913
238	285	910
239	286	907
240	287	904
241	287	901
242	288	898
243	289	896
244	289	893
245	290	890
246	291	888
247	291	885
248	293	883
249	293	881
250	294	878
251	295	876
252	295	873
253	296	871
254	297	868
255	297	865
256	298	863
257	299	860
258	299	857
259	300	855
260	301	853
261	302	850
262	302	848
263	303	845
264	304	843
265	304	840
266	305	838
267	306	835
268	306	833
269	307	832
270	308	830
271	309	828
272	310	827
273	311	824
274	311	822
275	312	820
276	313	817
277	314	815
278	314	813
279	315	811
280	316	808
281	316	806
282	317	804
283	318	802
284	319	800
285	319	798
286	320	795
287	321	793
288	321	792
289	322	789
290	323	787
291	323	785
292	324	783
293	325	781
294	326	779
295	326	777
296	327	775
297	328	773
298	328	771
299	329	768
300	330	766
301	330	764
302	331	762
303	332	760
304	332	758
305	333	756
306	334	754
307	334	752
308	335	750
309	336	748
310	337	746
311	337	744
312	338	742
313	339	740
314	339	738
315	340	736
316	341	735
317	341	732
318	342	731
319	343	729
320	343	727
321	344	725
322	345	723
323	345	721
324	346	719
325	347	717
326	347	716
327	348	714
328	349	712
329	350	711
330	351	709
331	352	708
332	352	706
333	353	704
334	354	702
335	354	701
336	355	699
337	356	697
338	356	695
339	357	693
340	358	692
341	358	690
342	359	688
343	360	686
344	360	684
345	361	683
346	362	681
347	362	679
348	363	678
349	364	676
350	364	674
351	365	672
352	366	671
353	366	669
354	367	667
355	368	666
356	368	664
357	369	662
358	370	661
359	371	659
360	371	658
361	372	656
362	373	654
363	373	653
364	374	651
365	375	649
366	375	647
367	376	646
368	376	644
369	377	643
370	378	641
371	379	640
372	379	638
373	380	636
374	381	635
375	381	633
376	382	632
377	383	630
378	384	629
379	384	627
380	385	626
381	386	624
382	386	622
383	387	621
384	388	619
385	388	618
386	389	616
387	390	615
388	390	613
389	391	612
390	392	610
391	393	609
392	393	608
393	394	606
394	395	605
395	395	603
396	396	602
397	397	600
398	397	599
399	398	597
400	399	596
401	399	594
402	400	593
403	401	591
404	401	590
405	402	588
406	403	587
407	403	585
408	404	584
409	405	583
410	405	581
411	406	580
412	407	578
413	408	577
414	408	576
415	409	574
416	410	573
417	410	571
418	411	570
419	412	569
420	412	567
421	413	566
422	414	565
423	414	563
424	415	562
425	416	560
426	416	559
427	417	557
428	418	556
429	418	555
430	419	553
431	420	552
432	420	551
433	421	549
434	422	548
435	423	547
436	423	545
437	424	544
438	425	543
439	425	541
440	426	540
441	427	539
442	427	537
443	428	536
444	429	535
445	429	533
446	430	532
447	431	531
448	431	529
449	432	528
450	433	527
451	434	526
452	435	525
453	435	524
454	436	522
455	437	521
456	437	520
457	438	518
458	439	517
459	439	516
460	440	515
461	441	513
462	441	512
463	442	511
464	443	509
465	443	508
466	444	507
467	445	506
468	445	504
469	446	503
470	447	502
471	448	501
472	448	500
473	449	499
474	450	498
475	451	496
476	452	495
477	452	494
478	453	493
479	454	491
480	454	490
481	455	489
482	456	488
483	456	486
484	457	485
485	458	484
486	458	483
487	459	482
488	460	480
489	460	479
490	461	478
491	462	477
492	463	476
493	463	475
494	464	474
495	465	472
496	465	471
497	466	470
498	467	469
499	467	467
500	468	466
501	469	465
502	470	464
503	470	463
504	471	462
505	472	460
506	472	459
507	473	458
508	474	457
509	474	456
510	475	454
511	476	453
512	476	452
513	477	451
514	478	450
515	478	449
516	479	448
517	480	446
518	481	445
519	481	444
520	482	443
521	483	442
522	483	441
523	484	439
524	485	438
525	485	437
526	486	436
527	487	435
528	487	434
529	488	433
530	489	432
531	489	430
532	490	429
533	491	428
534	491	427
535	492	426
536	493	425
537	493	424
538	494	422
539	495	421
540	495	420
541	496	419
542	497	418
543	497	417
544	498	416
545	499	415
546	499	414
547	500	412
548	501	411
549	501	410
550	502	409
551	503	408
552	504	407
553	504	406
554	505	405
555	506	404
556	507	403
557	507	402
558	508	401
559	509	400
560	509	398
561	510	397
562	511	396
563	511	395
564	512	394
565	513	393
566	513	392
567	514	391
568	515	390
569	515	389
570	516	388
571	517	387
572	518	386
573	519	385
574	519	384
575	520	383
576	521	382
577	521	381
578	522	380
579	523	378
580	523	377
581	524	376
582	525	375
583	526	374
584	526	373
585	527	372
586	528	371
587	528	370
588	529	369
589	530	368
590	530	367
591	531	366
592	532	365
593	533	364
594	533	363
595	534	362
596	535	361
597	535	360
598	536	359
599	536	357
600	537	356
601	538	355
602	538	354
603	539	353
604	540	352
605	540	351
606	541	350
607	542	349
608	543	348
609	543	347
610	544	346
611	545	345
612	546	344
613	547	344
614	548	343
615	548	342
616	549	341
617	550	340
618	550	339
619	551	338
620	552	337
621	552	336
622	553	335
623	554	334
624	554	332
625	555	332
626	556	330
627	556	329
628	557	328
629	558	327
630	559	326
631	559	326
632	560	325
633	561	324
634	561	323
635	562	322
636	563	321
637	564	320
638	564	319
639	565	318
640	566	317
641	566	316
642	567	315
643	568	314
644	568	313
645	569	312
646	570	311
647	570	310
648	571	309
649	572	308
650	572	307
651	573	306
652	574	305
653	574	304
654	575	303
655	576	302
656	576	301
657	577	300
658	578	299
659	578	298
660	579	297
661	580	296
662	580	295
663	581	294
664	582	293
665	582	292
666	583	291
667	584	290
668	585	289
669	585	288
670	586	287
671	587	286
672	587	285
673	588	284
674	589	283
675	590	282
676	590	281
677	591	280
678	592	279
679	592	278
680	593	278
681	594	277
682	594	276
683	595	275
684	596	274
685	596	273
686	597	272
687	598	271
688	598	270
689	599	269
690	600	268
691	601	267
692	602	266
693	603	266
694	604	265
695	605	264
696	606	263
697	607	262
698	608	261
699	609	261
700	610	260
701	611	259
702	612	258
703	613	258
704	615	257
705	615	256
706	616	255
707	617	254
708	618	253
709	619	253
710	620	252
711	621	251
712	622	250
713	623	249
714	624	248
715	625	248
716	626	247
717	627	246
718	628	245
719	629	244
720	630	243
721	631	243
722	632	242
723	633	241
724	634	240
725	635	239
726	636	239
727	637	238
728	638	237
729	639	236
730	640	235
731	641	234
732	642	234
733	644	233
734	645	232
735	645	231
736	646	230
737	647	229
738	648	229
739	649	228
740	650	227
741	651	226
742	652	225
743	653	225
744	655	224
745	656	223
746	657	222
747	658	221
748	659	220
749	660	220
750	661	219
751	662	218
752	663	217
753	664	216
754	665	216
755	667	215
756	667	214
757	668	213
758	669	212
759	670	211
760	671	210
761	672	210
762	673	209
763	674	208
764	675	207
765	676	206
766	677	205
767	677	204
768	678	203
769	679	202
770	680	202
771	681	201
772	682	200
773	682	199
774	683	198
775	684	197
776	685	196
777	686	195
778	687	194
779	687	194
780	688	193
781	689	192
782	690	191
783	691	190
784	692	189
785	693	188
786	694	187
787	695	187
788	696	186
789	697	185
790	697	184
791	698	183
792	699	182
793	700	181
794	701	180
795	701	179
796	702	179
797	703	178
798	704	177
799	705	176
800	706	175
801	707	174
802	708	173
803	709	172
804	710	172
805	711	171
806	712	170
807	713	169
808	714	168
809	715	167
810	716	167
811	717	166
812	718	165
813	719	164
814	720	163
815	721	162
816	722	161
817	723	160
818	724	160
819	725	159
820	725	158
821	726	157
822	727	156
823	728	155
824	729	154
825	730	153
826	730	152
827	732	152
828	732	151
829	733	150
830	734	149
831	735	148
832	736	147
833	737	146
834	737	145
835	738	144
836	739	143
837	739	143
838	740	142
839	741	141
840	741	140
841	742	139
842	743	138
843	744	137
844	745	136
845	746	135
846	746	134
847	747	133
848	747	133
849	748	132
850	749	131
851	750	130
852	750	129
853	751	128
854	752	127
855	753	126
856	753	125
857	754	124
858	755	123
859	755	123
860	756	122
861	757	121
862	758	120
863	759	119
864	759	118
865	760	117
866	761	116
867	762	115
868	762	114
869	763	114
870	764	113
871	765	112
872	765	111
873	766	110
874	767	109
875	768	108
876	768	107
877	770	107
878	770	106
879	771	105
880	772	104
881	773	103
882	774	102
883	775	101
884	775	100
885	776	99
886	777	99
887	778	98
888	779	97
889	779	96
890	780	95
891	781	94
892	782	93
893	782	92
894	783	91
895	784	91
896	785	90
897	786	89
898	787	88
899	788	87
900	788	86
901	789	85
902	790	84
903	791	84
904	792	83
905	793	82
906	793	81
907	794	80
908	795	79
909	796	78
910	796	77
911	797	76
912	798	76
913	799	75
914	800	74
915	800	73
916	801	72
917	802	71
918	803	70
919	803	69
920	804	69
921	805	68
922	806	67
923	806	66
924	807	65
925	808	64
926	808	63
927	809	62
928	810	61
929	811	61
930	812	60
931	813	59
932	814	58
933	815	57
934	815	56
935	816	55
936	817	54
937	818	54
938	819	53
939	820	52
940	820	51
941	822	50
942	823	49
943	824	48
944	825	48
945	826	47
946	827	46
947	828	45
948	828	44
949	829	43
950	830	42
951	831	41
952	831	41
953	832	40
954	833	39
955	834	38
956	834	37
957	835	36
958	836	35
959	836	34
960	837	33
961	838	33
962	839	32
963	839	31
964	840	30
965	841	29
966	842	28
967	843	27
968	844	27
969	845	26
970	845	25
971	846	24
972	847	23
973	847	22
974	848	21
975	849	20
976	850	20
977	850	19
978	851	18
979	852	17
980	852	16
981	853	15
982	854	14
983	854	13
984	855	13
985	856	12
986	857	11
987	857	10
988	858	9
989	859	8
990	859	7
991	860	6
992	861	6
993	861	5
994	862	4
995	863	3
996	863	2
997	864	1
998	865	0
999	866	0
