iter	Passed	Remaining
0	157	157401
1	159	79759
2	161	53635
3	162	40455
4	163	32577
5	165	27449
6	170	24174
7	175	21738
8	177	19534
9	178	17677
10	179	16155
11	184	15202
12	187	14254
13	190	13385
14	192	12649
15	193	11930
16	196	11337
17	200	10914
18	202	10478
19	204	10035
20	206	9644
21	208	9257
22	209	8901
23	210	8575
24	215	8391
25	218	8186
26	219	7926
27	221	7693
28	222	7458
29	224	7247
30	226	7070
31	229	6946
32	232	6815
33	234	6659
34	236	6516
35	237	6366
36	239	6221
37	240	6086
38	242	5980
39	245	5882
40	247	5787
41	250	5702
42	251	5600
43	252	5491
44	254	5391
45	255	5306
46	258	5237
47	260	5172
48	262	5098
49	264	5030
50	266	4961
51	268	4892
52	270	4825
53	272	4776
54	274	4719
55	276	4664
56	278	4605
57	280	4555
58	281	4491
59	282	4430
60	284	4375
61	286	4339
62	289	4304
63	292	4283
64	295	4244
65	296	4197
66	297	4148
67	299	4101
68	303	4096
69	307	4085
70	309	4049
71	311	4010
72	312	3969
73	314	3934
74	317	3914
75	321	3906
76	323	3879
77	325	3850
78	327	3818
79	329	3787
80	333	3779
81	335	3753
82	336	3714
83	337	3685
84	339	3649
85	340	3614
86	341	3580
87	342	3552
88	345	3539
89	347	3514
90	349	3493
91	351	3465
92	352	3436
93	353	3407
94	354	3379
95	356	3352
96	358	3338
97	361	3326
98	363	3306
99	364	3283
100	366	3259
101	367	3232
102	367	3204
103	368	3178
104	370	3157
105	371	3134
106	373	3119
107	376	3106
108	377	3082
109	378	3060
110	379	3039
111	381	3021
112	382	2999
113	382	2976
114	383	2954
115	384	2931
116	385	2910
117	386	2889
118	388	2877
119	390	2861
120	391	2841
121	391	2820
122	392	2800
123	393	2782
124	394	2763
125	395	2744
126	396	2724
127	397	2706
128	398	2688
129	399	2670
130	399	2652
131	400	2635
132	401	2619
133	404	2612
134	405	2599
135	406	2585
136	408	2571
137	409	2557
138	410	2544
139	411	2530
140	412	2514
141	413	2497
142	414	2482
143	415	2468
144	416	2455
